Time,Document,Desk,DoorHandle,Hand_1,Hand_2,Mucosa_1,Mucosa_2,Air,Viral Exposure_Fomites_1,Viral Exposure_Fomites_2,Viral Exposure_CloseContact_1,Viral Exposure_CloseContact_2,Viral Exposure_Aerosol_1,Viral Exposure_Aerosol_2,Viral Exposure_Total_1,Viral Exposure_Total_2,Risk_1,Risk_2
0,0,0,0,0,1937873.7029674,0,4000000,0,0,4000000,0,4000000,0,4000000,0,4000000,0,0.999959998046938
1.44274549665507e-07,4.2482223485181e-07,1.08016877055779e-06,1.38977738905847e-08,2.15351156506971e-14,1937873.70296661,2.15351110631558e-15,4000000,1.19094232771312e-07,1.59464495755164e-33,4000000,2.15351110631558e-15,4000000,2.03965376354488e-22,4000000,2.15351131028096e-15,4000000,0,0.999959998046938
2.88549099331013e-07,1.34078915795785e-06,3.40914024803458e-06,4.38630162251568e-08,1.11037611135511e-13,1937873.7029649,1.11037576874162e-14,4000000,3.75875447479936e-07,3.47323161659925e-32,4000000,1.11037576874162e-14,4000000,1.52328564900789e-21,4000000,1.11037592107019e-14,4000000,0,0.999959998046938
4.3282364899652e-07,2.75825490229971e-06,7.01324124263545e-06,9.02344555824234e-08,3.18826663490775e-13,1937873.70296226,3.18826535240063e-14,4000000,7.73246287806337e-07,2.52383727366124e-31,4000000,3.18826535240063e-14,4000000,5.70212972741903e-21,4000000,3.18826592261361e-14,4000000,0,0.999959998046938
1.06229991649701e-06,1.44183913332264e-05,3.66607370801385e-05,4.71687987048184e-07,4.18128581854808e-12,1937873.70294052,4.1812820362434e-13,4000000,4.04203557850566e-06,5.25135865729695e-29,4000000,4.1812820362434e-13,4000000,1.68165368923521e-19,4000000,4.18128371789709e-13,4000000,0,0.999959998046938
1.6917761839975e-06,3.54511830540273e-05,9.0139494891316e-05,1.15976164715905e-06,1.52943611850297e-11,1937873.70290131,1.52943416440577e-12,4000000,9.93834241977666e-06,5.61758770420871e-28,4000000,1.52943416440577e-12,4000000,8.68816246672525e-19,4000000,1.52943503322201e-12,4000000,0,0.999959998046938
2.321252451498e-06,6.60046516103801e-05,0.000167825880372972,2.15929786758629e-06,3.77577404818182e-11,1937873.70284436,3.77576778530891e-12,4000000,1.85036611130154e-05,3.05631585433218e-27,4000000,3.77576778530891e-12,4000000,2.78456314400137e-18,4000000,3.77577056987206e-12,4000000,0,0.999959998046938
2.95072871899849e-06,0.000106131036396439,0.000269852720001452,3.47200563159211e-06,7.58219952022356e-11,1937873.70276955,7.5821839894005e-12,4000000,2.97526343965598e-05,1.1538020250387e-26,4000000,7.58218398940049e-12,4000000,6.90525412390644e-18,4000000,7.58219089465462e-12,4000000,0,0.999959998046938
4.81891558492497e-06,0.000281654053277457,0.000716144091137032,9.21412354695887e-06,3.37719728289443e-10,1937873.70244234,3.37718541948467e-11,4000000,7.89584608452925e-05,2.76744974513558e-25,4000000,3.37718541948464e-11,4000000,5.27475303399259e-17,4000000,3.37719069423771e-11,4000000,1.11022302462516e-16,0.999959998046938
6.68710245085146e-06,0.000541584454529876,0.00137705285195606,1.77175727502511e-05,8.87865332312488e-10,1937873.70195778,8.87861147958197e-11,4000000,0.000151826834467998,1.70893076939913e-24,4000000,8.87861147958181e-11,4000000,1.86048624272551e-16,4000000,8.87863008444441e-11,4000000,2.22044604925031e-16,0.999959998046938
